epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,16021.7,0.58448,0.42577,0.0188,0.81879,0.63436,0.76956,0.64685,0.6752,1.02645,0.02316,0.000983666,0.000983666,0.000983666
43,16393.7,0.58529,0.41302,0.01879,0.83176,0.63251,0.76287,0.64493,0.66979,1.01658,0.02277,0.000982864,0.000982864,0.000982864
44,16778.7,0.5771,0.40877,0.01848,0.84206,0.62664,0.77166,0.65507,0.67412,1.03601,0.02299,0.000982043,0.000982043,0.000982043
45,17171.7,0.57772,0.4029,0.01857,0.82693,0.63085,0.77444,0.66086,0.66962,1.01321,0.02293,0.000981204,0.000981204,0.000981204
46,17552.8,0.56422,0.39595,0.01813,0.67879,0.73581,0.78007,0.66248,0.67413,1.03343,0.02299,0.000980345,0.000980345,0.000980345
47,17915.3,0.56289,0.38127,0.01807,0.77649,0.66461,0.75249,0.64215,0.67888,1.03324,0.02326,0.000979468,0.000979468,0.000979468
48,18269.9,0.5626,0.394,0.01796,0.84743,0.64586,0.76763,0.64983,0.67852,1.03466,0.02326,0.000978572,0.000978572,0.000978572
49,18624,0.55581,0.37542,0.01771,0.79637,0.65706,0.76549,0.64671,0.67489,1.04894,0.02309,0.000977658,0.000977658,0.000977658
50,18979.7,0.55776,0.37007,0.01771,0.79047,0.65776,0.77676,0.6529,0.68633,1.03616,0.02342,0.000976725,0.000976725,0.000976725
51,19359.4,0.55063,0.35961,0.01762,0.80642,0.65974,0.77792,0.65821,0.6852,1.03066,0.0234,0.000975773,0.000975773,0.000975773
52,19742,0.54323,0.34108,0.01733,0.73835,0.72752,0.78472,0.66248,0.6818,1.02871,0.02334,0.000974803,0.000974803,0.000974803
53,20121.8,0.53868,0.35113,0.01717,0.75248,0.70511,0.78324,0.66349,0.68355,1.031,0.02335,0.000973814,0.000973814,0.000973814
54,20476.8,0.53683,0.34535,0.01716,0.76538,0.69997,0.78071,0.65702,0.67867,1.02905,0.02319,0.000972806,0.000972806,0.000972806
55,502.992,0.51779,0.29827,0.01657,0.78295,0.71458,0.78403,0.65952,0.67855,1.02566,0.02306,0.00097178,0.00097178,0.00097178
56,986.911,0.53105,0.33372,0.01686,0.77075,0.71497,0.78501,0.65781,0.67115,1.00978,0.02295,0.000970736,0.000970736,0.000970736
57,1463.1,0.53576,0.34863,0.01707,0.73342,0.71419,0.77898,0.65816,0.66816,1.01878,0.02285,0.000969673,0.000969673,0.000969673
58,1940.24,0.5366,0.33413,0.01712,0.70369,0.72737,0.77848,0.65886,0.66809,1.02517,0.02285,0.000968592,0.000968592,0.000968592
59,2416.88,0.52922,0.32984,0.01696,0.7251,0.72475,0.78303,0.66222,0.6664,1.02629,0.02283,0.000967493,0.000967493,0.000967493
60,2894.48,0.51984,0.31546,0.01666,0.74161,0.72782,0.78251,0.66135,0.67436,1.01376,0.02292,0.000966375,0.000966375,0.000966375
61,3372.14,0.52453,0.31229,0.01676,0.7415,0.73119,0.78244,0.6579,0.67051,1.02662,0.02288,0.000965239,0.000965239,0.000965239
62,3832.33,0.52074,0.3171,0.01655,0.7344,0.72565,0.78049,0.66114,0.6684,1.03901,0.02282,0.000964085,0.000964085,0.000964085
63,4295.15,0.51805,0.32307,0.0164,0.74716,0.72217,0.78085,0.66355,0.66639,1.04792,0.02273,0.000962913,0.000962913,0.000962913
64,4755.97,0.513,0.3061,0.0163,0.7482,0.7197,0.78187,0.66637,0.66441,1.0557,0.02265,0.000961723,0.000961723,0.000961723
65,5218.11,0.51389,0.29758,0.01637,0.73423,0.72734,0.78012,0.66665,0.66205,1.07019,0.02255,0.000960515,0.000960515,0.000960515
66,5680.32,0.50345,0.29719,0.01596,0.72404,0.73375,0.77794,0.66602,0.66129,1.07146,0.0225,0.000959289,0.000959289,0.000959289
67,6140.63,0.50948,0.3011,0.01616,0.70252,0.74333,0.78032,0.66878,0.65985,1.06398,0.02245,0.000958044,0.000958044,0.000958044
68,6601.99,0.50298,0.28765,0.01601,0.68132,0.75554,0.77964,0.67039,0.65771,1.07194,0.02237,0.000956782,0.000956782,0.000956782
69,7064.16,0.50096,0.29715,0.01589,0.70801,0.75095,0.77941,0.67209,0.65746,1.07332,0.02235,0.000955502,0.000955502,0.000955502
70,7526.35,0.49479,0.28338,0.01565,0.69781,0.75598,0.7757,0.66765,0.6578,1.08126,0.02233,0.000954205,0.000954205,0.000954205
71,7987.91,0.4919,0.28857,0.01564,0.675,0.75567,0.77555,0.66774,0.65808,1.09085,0.02235,0.000952889,0.000952889,0.000952889
72,8448.49,0.485,0.27072,0.01543,0.69814,0.75088,0.77499,0.6675,0.65757,1.09297,0.02233,0.000951556,0.000951556,0.000951556
73,8910.13,0.48541,0.27131,0.01544,0.69784,0.74232,0.77307,0.66461,0.65847,1.09597,0.02234,0.000950206,0.000950206,0.000950206
74,9371.01,0.48053,0.26425,0.01512,0.68258,0.75239,0.773,0.66264,0.65991,1.09779,0.02238,0.000948837,0.000948837,0.000948837
75,9832.59,0.48678,0.27682,0.01548,0.69867,0.73519,0.77093,0.66171,0.66188,1.08835,0.02245,0.000947452,0.000947452,0.000947452
76,10294,0.47684,0.26618,0.01511,0.70543,0.74016,0.7744,0.66412,0.6605,1.09344,0.02242,0.000946048,0.000946048,0.000946048
77,10754.4,0.47709,0.26675,0.01514,0.70844,0.74823,0.77551,0.66448,0.66271,1.09362,0.0225,0.000944628,0.000944628,0.000944628
78,11214.9,0.47458,0.25807,0.01497,0.69818,0.75899,0.7743,0.66443,0.66286,1.10045,0.02252,0.000943189,0.000943189,0.000943189
79,11677.3,0.47158,0.25556,0.01489,0.66942,0.75971,0.77488,0.66551,0.66201,1.11044,0.0225,0.000941734,0.000941734,0.000941734
80,12138.2,0.46784,0.25801,0.01472,0.75155,0.68902,0.7725,0.6631,0.66198,1.1231,0.02252,0.000940262,0.000940262,0.000940262
81,12598.7,0.47302,0.26084,0.0149,0.75255,0.6983,0.77135,0.66208,0.66265,1.13515,0.02257,0.000938772,0.000938772,0.000938772
82,13058.6,0.47047,0.255,0.01482,0.74155,0.70615,0.77425,0.66505,0.66235,1.13283,0.02255,0.000937265,0.000937265,0.000937265
83,13519.2,0.46587,0.25922,0.01465,0.72789,0.71529,0.77445,0.66383,0.66164,1.13733,0.02256,0.000935741,0.000935741,0.000935741
84,13979.3,0.45617,0.23813,0.01445,0.81789,0.63949,0.77375,0.66279,0.66051,1.13922,0.02253,0.0009342,0.0009342,0.0009342
85,14440.5,0.45726,0.24446,0.01441,0.82189,0.64054,0.7737,0.66425,0.6599,1.13448,0.02254,0.000932642,0.000932642,0.000932642
86,14901.7,0.45719,0.2342,0.01438,0.74067,0.71294,0.77318,0.66323,0.65685,1.13778,0.02247,0.000931067,0.000931067,0.000931067
87,15361.9,0.45489,0.25098,0.01431,0.73828,0.70795,0.77307,0.66381,0.65756,1.1304,0.02251,0.000929476,0.000929476,0.000929476
88,15823.1,0.44967,0.24107,0.01417,0.83038,0.63689,0.77512,0.66475,0.65712,1.13602,0.02249,0.000927867,0.000927867,0.000927867
89,16284.6,0.45074,0.24042,0.0141,0.75979,0.69478,0.77583,0.66505,0.65994,1.13529,0.02256,0.000926242,0.000926242,0.000926242
90,16744.3,0.44788,0.23497,0.01406,0.81298,0.66138,0.77581,0.66524,0.65996,1.13886,0.02256,0.000924601,0.000924601,0.000924601
91,17205.4,0.44258,0.22725,0.01391,0.70577,0.74832,0.77356,0.66267,0.65862,1.13643,0.02253,0.000922942,0.000922942,0.000922942
92,17665.6,0.43836,0.22192,0.01374,0.71699,0.74492,0.77358,0.66312,0.65907,1.13734,0.02257,0.000921268,0.000921268,0.000921268
93,18125.4,0.43898,0.2285,0.01371,0.73304,0.74129,0.77589,0.66416,0.6588,1.13841,0.02256,0.000919576,0.000919576,0.000919576
94,18584.9,0.4351,0.22189,0.0136,0.73075,0.74436,0.77513,0.66225,0.65933,1.13892,0.02258,0.000917869,0.000917869,0.000917869
95,19045,0.43478,0.22257,0.01368,0.70139,0.75279,0.77359,0.66305,0.65876,1.14427,0.02255,0.000916145,0.000916145,0.000916145
96,19505,0.42964,0.21668,0.01348,0.69923,0.75309,0.77328,0.66192,0.6589,1.14488,0.02257,0.000914405,0.000914405,0.000914405
97,19966.5,0.42707,0.21228,0.01338,0.81763,0.67697,0.7748,0.66263,0.66022,1.14777,0.02262,0.000912649,0.000912649,0.000912649
98,20426.9,0.42808,0.21883,0.01339,0.81844,0.67863,0.77358,0.66204,0.65869,1.14987,0.02258,0.000910876,0.000910876,0.000910876
99,20887,0.42794,0.22097,0.0134,0.8199,0.6746,0.77513,0.66279,0.66076,1.15032,0.02264,0.000909088,0.000909088,0.000909088
100,21347.5,0.42865,0.21994,0.01346,0.81912,0.67574,0.77401,0.66245,0.66094,1.15213,0.02266,0.000907284,0.000907284,0.000907284
101,21807.8,0.42038,0.21329,0.01312,0.8176,0.68159,0.77315,0.66158,0.66113,1.15262,0.02269,0.000905463,0.000905463,0.000905463
102,401.355,0.42705,0.18102,0.01349,0.81554,0.68284,0.77379,0.66233,0.66115,1.15593,0.02269,0.000903627,0.000903627,0.000903627
103,781.704,0.44774,0.22165,0.0141,0.81448,0.68351,0.77469,0.66275,0.66094,1.15678,0.02267,0.000901776,0.000901776,0.000901776
